date,price
2019-05-15,4440
2019-05-16,4478
2019-05-17,4480
2019-05-20,4476
2019-05-21,4486
2019-05-22,4410
2019-05-23,4366
2019-05-24,4368
2019-05-27,4398
2019-05-28,4402
2019-05-29,4510
2019-05-30,4462
2019-05-31,4470
2019-06-03,4378
2019-06-04,4420
2019-06-05,4420
2019-06-06,4390
2019-06-10,4398
2019-06-11,4396
2019-06-12,4344
2019-06-13,4370
2019-06-14,4388
2019-06-17,4372
2019-06-18,4376
2019-06-19,4366
2019-06-20,4350
2019-06-21,4340
2019-06-24,4306
2019-06-25,4300
2019-06-26,4256
2019-06-27,4292
2019-06-28,4286
2019-07-01,4304
2019-07-02,4262
2019-07-03,4230
2019-07-04,4246
2019-07-05,4244
2019-07-08,4238
2019-07-09,4176
2019-07-10,4190
2019-07-11,4198
2019-07-12,4180
2019-07-15,4236
2019-07-16,4220
2019-07-17,4198
2019-07-18,4196
2019-07-19,4190
2019-07-22,4214
2019-07-23,4246
2019-07-24,4300
2019-07-25,4306
2019-07-26,4332
2019-07-29,4358
2019-07-30,4360
2019-07-31,4358
2019-08-01,4338
2019-08-02,4528
2019-08-05,4612
2019-08-06,4628
2019-08-07,4630
2019-08-08,4662
2019-08-09,4784
2019-08-12,4830
2019-08-13,4862
2019-08-14,4820
2019-08-15,4780
2019-08-16,4768
2019-08-19,4728
2019-08-20,4766
2019-08-21,4728
2019-08-22,4842
2019-08-23,4878
2019-08-26,4988
2019-08-27,4864
2019-08-28,4898
2019-08-29,4852
2019-08-30,4774
2019-09-02,4870
2019-09-03,4838
2019-09-04,4856
2019-09-05,4768
2019-09-06,4794
2019-09-09,4838
2019-09-10,4796
2019-09-11,4848
2019-09-12,4784
2019-09-16,4884
2019-09-17,5016
2019-09-18,4888
2019-09-19,4820
2019-09-20,4790
2019-09-23,4814
2019-09-24,4720
2019-09-25,4720
2019-09-26,4726
2019-09-27,4682
2019-09-30,4664
2019-10-08,4716
2019-10-09,4792
2019-10-10,4792
2019-10-11,4826
2019-10-14,4682
2019-10-15,4682
2019-10-16,4810
2019-10-17,4800
2019-10-18,4808
2019-10-21,4878
2019-10-22,4846
2019-10-23,4920
2019-10-24,4980
2019-10-25,5068
2019-10-28,5150
2019-10-29,5120
2019-10-30,5220
2019-10-31,5216
2019-11-01,5222
2019-11-04,5300
2019-11-05,5404
2019-11-06,5382
2019-11-07,5312
2019-11-08,5338
2019-11-11,5542
2019-11-12,5524
2019-11-13,5472
2019-11-14,5438
2019-11-15,5372
2019-11-18,5390
2019-11-19,5438
2019-11-20,5626
2019-11-21,5554
2019-11-22,5564
2019-11-25,5706
2019-11-26,5690
2019-11-27,5670
2019-11-28,5624
2019-11-29,5766
2019-12-02,5692
2019-12-03,5718
2019-12-04,5724
2019-12-05,5776
2019-12-06,5834
2019-12-09,5920
2019-12-10,5908
2019-12-11,5844
2019-12-12,5894
2019-12-13,5922
2019-12-16,5930
2019-12-17,5968
2019-12-18,5890
2019-12-19,5928
2019-12-20,6052
2019-12-23,6036
2019-12-24,6048
2019-12-25,6052
2019-12-26,6096
2019-12-27,6302
2019-12-30,6312
2019-12-31,6362
2020-01-02,6352
2020-01-03,6314
2020-01-06,6328
2020-01-07,6358
2020-01-08,6316
2020-01-09,6386
2020-01-10,6470
2020-01-13,6384
2020-01-14,6222
2020-01-15,6164
2020-01-16,6104
2020-01-17,6126
2020-01-20,6102
2020-01-21,5920
2020-01-22,6068
2020-01-23,6094
2020-02-03,5676
2020-02-04,5650
2020-02-05,5770
2020-02-06,5886
2020-02-07,5910
2020-02-10,5794
2020-02-11,5690
2020-02-12,5592
2020-02-13,5578
2020-02-14,5508
2020-02-17,5602
2020-02-18,5512
2020-02-19,5444
2020-02-20,5504
2020-02-21,5490
2020-02-24,5404
2020-02-25,5316
2020-02-26,5238
2020-02-27,5190
2020-02-28,4948
2020-03-02,5034
2020-03-03,4970
2020-03-04,5052
2020-03-05,5200
2020-03-06,5106
2020-03-09,4864
2020-03-10,4898
2020-03-11,4848
2020-03-12,4712
2020-03-13,4676
2020-03-16,4602
2020-03-17,4708
2020-03-18,4672
2020-03-19,4670
2020-03-20,4658
2020-03-23,4576
2020-03-24,4776
2020-03-25,4912
2020-03-26,4716
2020-03-27,4780
2020-03-30,4872
2020-03-31,4762
2020-04-01,4714
2020-04-02,4760
2020-04-03,4660
2020-04-07,4738
2020-04-08,4842
2020-04-09,4894
2020-04-10,4752
2020-04-13,4692
2020-04-14,4678
2020-04-15,4702
2020-04-16,4584
2020-04-17,4688
2020-04-20,4674
2020-04-21,4458
2020-04-22,4410
2020-04-23,4474
2020-04-24,4360
2020-04-27,4324
2020-04-28,4324
2020-04-29,4346
2020-04-30,4462
2020-05-06,4342
2020-05-07,4342
2020-05-08,4378
2020-05-11,4410
2020-05-12,4338
2020-05-13,4398
2020-05-14,4372
2020-05-15,4494
2020-05-18,4542
2020-05-19,4570
2020-05-20,4558
2020-05-21,4570
2020-05-22,4480
2020-05-25,4592
2020-05-26,4616
2020-05-27,4694
2020-05-28,4738
2020-05-29,4766
2020-06-01,4830
2020-06-02,4804
2020-06-03,4890
2020-06-04,4916
2020-06-05,4912
2020-06-08,4910
2020-06-09,5030
2020-06-10,5024
2020-06-11,4984
2020-06-12,4920
2020-06-15,4852
2020-06-16,4994
2020-06-17,5038
2020-06-18,5004
2020-06-19,5150
2020-06-22,5148
2020-06-23,5104
2020-06-24,5114
2020-06-29,4926
2020-06-30,4996
2020-07-01,4950
2020-07-02,4988
2020-07-03,5028
2020-07-06,5098
2020-07-07,4996
2020-07-08,5056
2020-07-09,5086
2020-07-10,4956
2020-07-13,5054
2020-07-14,5200
2020-07-15,5260
2020-07-16,5302
2020-07-17,5434
2020-07-20,5542
2020-07-21,5506
2020-07-22,5522
2020-07-23,5684
2020-07-24,5702
2020-07-27,5734
2020-07-28,5588
2020-07-29,5622
2020-07-30,5700
2020-07-31,5680
2020-08-03,5852
2020-08-04,5984
2020-08-05,5886
2020-08-06,5950
2020-08-07,5884
2020-08-10,5580
2020-08-11,5562
2020-08-12,5480
2020-08-13,5694
2020-08-14,5622
2020-08-17,5706
2020-08-18,5678
2020-08-19,5776
2020-08-20,5608
2020-08-21,5606
2020-08-24,5590
2020-08-25,5522
2020-08-26,5580
2020-08-27,5666
2020-08-28,5762
2020-08-31,5856
2020-09-01,5884
2020-09-02,5914
2020-09-03,5946
2020-09-04,5860
2020-09-07,5860
2020-09-08,5970
2020-09-09,5862
2020-09-10,5882
2020-09-11,5876
2020-09-14,6096
2020-09-15,6076
2020-09-16,6122
2020-09-17,6232
2020-09-18,6384
2020-09-21,6480
2020-09-22,6178
2020-09-23,6026
2020-09-24,5888
2020-09-25,5890
2020-09-28,5888
2020-09-29,5934
2020-09-30,5736
2020-10-09,6082
2020-10-12,6256
2020-10-13,6228
2020-10-14,6276
2020-10-15,6140
2020-10-16,6052
2020-10-19,5846
2020-10-20,5942
2020-10-21,6024
2020-10-22,6122
2020-10-23,6076
2020-10-26,6188
2020-10-27,6262
2020-10-28,6302
2020-10-29,6284
2020-10-30,6234
2020-11-02,6142
2020-11-03,6358
2020-11-04,6406
2020-11-05,6482
2020-11-06,6524
2020-11-09,6384
2020-11-10,6450
2020-11-11,6644
2020-11-12,6628
2020-11-13,6670
2020-11-16,6730
2020-11-17,6866
2020-11-18,6814
2020-11-19,6996
2020-11-20,6778
2020-11-23,6636
2020-11-24,6720
2020-11-25,6730
2020-11-26,6682
2020-11-27,6750
2020-11-30,6614
2020-12-01,6662
2020-12-02,6514
2020-12-03,6662
2020-12-04,6724
2020-12-07,6422
2020-12-08,6294
2020-12-09,6356
2020-12-10,6356
2020-12-11,6568
2020-12-14,6642
2020-12-15,6580
2020-12-16,6720
2020-12-17,6672
2020-12-18,6786
2020-12-21,6780
2020-12-22,6572
2020-12-23,6686
2020-12-24,6938
2020-12-25,7036
2020-12-28,6832
2020-12-29,6796
2020-12-30,6914
2020-12-31,6938
2021-01-04,7026
2021-01-05,7024
2021-01-06,7238
2021-01-07,7296
2021-01-08,7246
2021-01-11,7120
2021-01-12,7106
2021-01-13,7046
2021-01-14,6794
2021-01-15,6646
2021-01-18,6724
2021-01-19,6676
2021-01-20,6528
2021-01-21,6584
2021-01-22,6468
2021-01-25,6554
2021-01-26,6516
2021-01-27,6742
2021-01-28,6716
2021-01-29,6772
2021-02-01,6698
2021-02-02,6670
2021-02-03,6480
2021-02-04,6534
2021-02-05,6594
2021-02-08,6678
2021-02-09,6904
2021-02-10,6882
2021-02-18,7134
2021-02-19,7216
2021-02-22,7278
2021-02-23,7360
2021-02-24,7482
2021-02-25,7606
2021-02-26,7534
2021-03-01,7578
2021-03-02,7364
2021-03-03,7360
2021-03-04,7466
2021-03-05,7494
2021-03-08,7776
2021-03-09,7618
2021-03-10,7792
2021-03-11,7838
2021-03-12,7970
2021-03-15,8000
2021-03-16,7874
2021-03-17,7860
2021-03-18,7780
2021-03-19,7654
