date,price
2019-05-15,2695
2019-05-16,2726
2019-05-17,2719
2019-05-20,2742
2019-05-21,2786
2019-05-22,2775
2019-05-23,2771
2019-05-24,2770
2019-05-27,2827
2019-05-28,2867
2019-05-29,2954
2019-05-30,2902
2019-05-31,2923
2019-06-03,2959
2019-06-04,2982
2019-06-05,2954
2019-06-06,2874
2019-06-10,2864
2019-06-11,2868
2019-06-12,2863
2019-06-13,2917
2019-06-14,2909
2019-06-17,2973
2019-06-18,2939
2019-06-19,2884
2019-06-20,2873
2019-06-21,2880
2019-06-24,2912
2019-06-25,2906
2019-06-26,2887
2019-06-27,2880
2019-06-28,2897
2019-07-01,2865
2019-07-02,2822
2019-07-03,2818
2019-07-04,2804
2019-07-05,2804
2019-07-08,2772
2019-07-09,2759
2019-07-10,2779
2019-07-11,2789
2019-07-12,2808
2019-07-15,2861
2019-07-16,2813
2019-07-17,2828
2019-07-18,2832
2019-07-19,2840
2019-07-22,2797
2019-07-23,2814
2019-07-24,2799
2019-07-25,2810
2019-07-26,2784
2019-07-29,2770
2019-07-30,2789
2019-07-31,2799
2019-08-01,2773
2019-08-02,2821
2019-08-05,2875
2019-08-06,2867
2019-08-07,2883
2019-08-08,2873
2019-08-09,2899
2019-08-12,2884
2019-08-13,2940
2019-08-14,2889
2019-08-15,2867
2019-08-16,2861
2019-08-19,2877
2019-08-20,2887
2019-08-21,2898
2019-08-22,2934
2019-08-23,2958
2019-08-26,2977
2019-08-27,2935
2019-08-28,2957
2019-08-29,2987
2019-08-30,2935
2019-09-02,2974
2019-09-03,2995
2019-09-04,2973
2019-09-05,2928
2019-09-06,2885
2019-09-09,2851
2019-09-10,2867
2019-09-11,2840
2019-09-12,2858
2019-09-16,2845
2019-09-17,2859
2019-09-18,2863
2019-09-19,2862
2019-09-20,2863
2019-09-23,2862
2019-09-24,2845
2019-09-25,2880
2019-09-26,2860
2019-09-27,2849
2019-09-30,2880
2019-10-08,2910
2019-10-09,2959
2019-10-10,2957
2019-10-11,2989
2019-10-14,2969
2019-10-15,2973
2019-10-16,2970
2019-10-17,2968
2019-10-18,2986
2019-10-21,3078
2019-10-22,3059
2019-10-23,3052
2019-10-24,3047
2019-10-25,3046
2019-10-28,2982
2019-10-29,2988
2019-10-30,2989
2019-10-31,2855
2019-11-01,2867
2019-11-04,2874
2019-11-05,2865
2019-11-06,2827
2019-11-07,2830
2019-11-08,2836
2019-11-11,2791
2019-11-12,2785
2019-11-13,2787
2019-11-14,2775
2019-11-15,2765
2019-11-18,2777
2019-11-19,2771
2019-11-20,2765
2019-11-21,2759
2019-11-22,2744
2019-11-25,2756
2019-11-26,2761
2019-11-27,2748
2019-11-28,2754
2019-11-29,2769
2019-12-02,2743
2019-12-03,2753
2019-12-04,2740
2019-12-05,2755
2019-12-06,2749
2019-12-09,2776
2019-12-10,2772
2019-12-11,2783
2019-12-12,2764
2019-12-13,2741
2019-12-16,2758
2019-12-17,2754
2019-12-18,2763
2019-12-19,2741
2019-12-20,2737
2019-12-23,2752
2019-12-24,2752
2019-12-25,2742
2019-12-26,2736
2019-12-27,2735
2019-12-30,2775
2019-12-31,2772
2020-01-02,2771
2020-01-03,2761
2020-01-06,2739
2020-01-07,2743
2020-01-08,2727
2020-01-09,2716
2020-01-10,2666
2020-01-13,2655
2020-01-14,2659
2020-01-15,2693
2020-01-16,2689
2020-01-17,2682
2020-01-20,2681
2020-01-21,2710
2020-01-22,2678
2020-01-23,2640
2020-02-03,2580
2020-02-04,2649
2020-02-05,2635
2020-02-06,2637
2020-02-07,2634
2020-02-10,2656
2020-02-11,2657
2020-02-12,2641
2020-02-13,2684
2020-02-14,2668
2020-02-17,2681
2020-02-18,2656
2020-02-19,2660
2020-02-20,2664
2020-02-21,2661
2020-02-24,2619
2020-02-25,2636
2020-02-26,2722
2020-02-27,2725
2020-02-28,2687
2020-03-02,2786
2020-03-03,2790
2020-03-04,2782
2020-03-05,2788
2020-03-06,2773
2020-03-09,2728
2020-03-10,2755
2020-03-11,2733
2020-03-12,2721
2020-03-13,2758
2020-03-16,2749
2020-03-17,2770
2020-03-18,2753
2020-03-19,2732
2020-03-20,2817
2020-03-23,2915
2020-03-24,2920
2020-03-25,2965
2020-03-26,2892
2020-03-27,2928
2020-03-30,2950
2020-03-31,2940
2020-04-01,2862
2020-04-02,2848
2020-04-03,2805
2020-04-07,2807
2020-04-08,2821
2020-04-09,2822
2020-04-10,2826
