date,price
2019-05-15,7028
2019-05-16,7058
2019-05-17,7036
2019-05-20,7044
2019-05-21,7070
2019-05-22,7034
2019-05-23,6982
2019-05-24,7015
2019-05-27,7086
2019-05-28,7062
2019-05-29,7145
2019-05-30,7086
2019-05-31,7063
2019-06-03,7041
2019-06-04,7094
2019-06-05,7059
2019-06-06,7089
2019-06-10,7082
2019-06-11,7090
2019-06-12,7060
2019-06-13,7105
2019-06-14,7092
2019-06-17,7092
2019-06-18,7087
2019-06-19,6937
2019-06-20,6904
2019-06-21,6880
2019-06-24,6883
2019-06-25,6902
2019-06-26,6881
2019-06-27,6929
2019-06-28,6910
2019-07-01,6847
2019-07-02,6836
2019-07-03,6852
2019-07-04,6917
2019-07-05,6877
2019-07-08,6887
2019-07-09,6834
2019-07-10,6836
2019-07-11,6849
2019-07-12,6815
2019-07-15,6944
2019-07-16,6927
2019-07-17,6941
2019-07-18,6967
2019-07-19,6929
2019-07-22,6931
2019-07-23,6949
2019-07-24,6964
2019-07-25,6937
2019-07-26,6920
2019-07-29,6989
2019-07-30,7003
2019-07-31,6990
2019-08-01,6990
2019-08-02,6995
2019-08-05,7061
2019-08-06,7091
2019-08-07,7093
2019-08-08,7156
2019-08-09,7247
2019-08-12,7285
2019-08-13,7379
2019-08-14,7301
2019-08-15,7308
2019-08-16,7325
2019-08-19,7329
2019-08-20,7375
2019-08-21,7357
2019-08-22,7459
2019-08-23,7446
2019-08-26,7546
2019-08-27,7425
2019-08-28,7496
2019-08-29,7462
2019-08-30,7456
2019-09-02,7476
2019-09-03,7418
2019-09-04,7478
2019-09-05,7436
2019-09-06,7370
2019-09-09,7354
2019-09-10,7378
2019-09-11,7351
2019-09-12,7336
2019-09-16,7361
2019-09-17,7366
2019-09-18,7343
2019-09-19,7334
2019-09-20,7316
2019-09-23,7381
2019-09-24,7238
2019-09-25,7235
2019-09-26,7250
2019-09-27,7136
2019-09-30,7117
2019-10-08,7160
2019-10-09,7260
2019-10-10,7292
2019-10-11,7319
2019-10-14,7201
2019-10-15,7171
2019-10-16,7210
2019-10-17,7211
2019-10-18,7186
2019-10-21,7217
2019-10-22,7184
