date,price
2019-05-15,5420
2019-05-16,5464
2019-05-17,5470
2019-05-20,5464
2019-05-21,5484
2019-05-22,5402
2019-05-23,5350
2019-05-24,5356
2019-05-27,5384
2019-05-28,5400
2019-05-29,5552
2019-05-30,5476
2019-05-31,5482
2019-06-03,5390
2019-06-04,5454
2019-06-05,5454
2019-06-06,5440
2019-06-10,5460
2019-06-11,5466
2019-06-12,5408
2019-06-13,5460
2019-06-14,5474
2019-06-17,5514
2019-06-18,5506
2019-06-19,5436
2019-06-20,5432
2019-06-21,5418
2019-06-24,5386
2019-06-25,5402
2019-06-26,5372
2019-06-27,5420
2019-06-28,5392
2019-07-01,5438
2019-07-02,5430
2019-07-03,5410
2019-07-04,5428
2019-07-05,5430
2019-07-08,5456
2019-07-09,5408
2019-07-10,5442
2019-07-11,5440
2019-07-12,5400
2019-07-15,5468
2019-07-16,5440
2019-07-17,5426
2019-07-18,5420
2019-07-19,5402
2019-07-22,5432
2019-07-23,5452
2019-07-24,5492
2019-07-25,5526
2019-07-26,5530
2019-07-29,5574
2019-07-30,5572
2019-07-31,5708
2019-08-01,5682
2019-08-02,5718
2019-08-05,5850
2019-08-06,5874
2019-08-07,5888
2019-08-08,5966
2019-08-09,6150
2019-08-12,6160
2019-08-13,6206
2019-08-14,6144
2019-08-15,6134
2019-08-16,6182
2019-08-19,6150
2019-08-20,6184
2019-08-21,6150
2019-08-22,6194
2019-08-23,6186
2019-08-26,6262
2019-08-27,6128
2019-08-28,6124
2019-08-29,6130
2019-08-30,6056
2019-09-02,6090
2019-09-03,6052
2019-09-04,6170
2019-09-05,6116
2019-09-06,6076
2019-09-09,6058
2019-09-10,6066
2019-09-11,6066
2019-09-12,6054
2019-09-16,6114
2019-09-17,6218
2019-09-18,6138
2019-09-19,6066
2019-09-20,6034
2019-09-23,6068
2019-09-24,5986
2019-09-25,6014
2019-09-26,6016
2019-09-27,5900
2019-09-30,5864
2019-10-08,5938
2019-10-09,5998
2019-10-10,5990
2019-10-11,6044
2019-10-14,5914
