date,price
2019-05-15,2289
2019-05-16,2336
2019-05-17,2335
2019-05-20,2358
2019-05-21,2418
2019-05-22,2407
2019-05-23,2412
2019-05-24,2417
2019-05-27,2460
2019-05-28,2478
2019-05-29,2592
2019-05-30,2510
2019-05-31,2519
2019-06-03,2541
2019-06-04,2570
2019-06-05,2533
2019-06-06,2478
2019-06-10,2468
2019-06-11,2466
2019-06-12,2460
2019-06-13,2523
2019-06-14,2523
2019-06-17,2565
2019-06-18,2526
2019-06-19,2475
2019-06-20,2488
2019-06-21,2531
2019-06-24,2580
2019-06-25,2600
2019-06-26,2575
2019-06-27,2565
2019-06-28,2580
2019-07-01,2511
2019-07-02,2477
2019-07-03,2468
2019-07-04,2460
2019-07-05,2454
2019-07-08,2443
2019-07-09,2412
2019-07-10,2433
2019-07-11,2430
2019-07-12,2432
2019-07-15,2487
2019-07-16,2428
2019-07-17,2446
2019-07-18,2442
2019-07-19,2435
2019-07-22,2389
2019-07-23,2412
2019-07-24,2381
2019-07-25,2387
2019-07-26,2362
2019-07-29,2375
2019-07-30,2392
2019-07-31,2408
2019-08-01,2381
2019-08-02,2414
2019-08-05,2470
2019-08-06,2461
2019-08-07,2323
2019-08-08,2311
2019-08-09,2330
2019-08-12,2327
2019-08-13,2375
2019-08-14,2321
2019-08-15,2309
2019-08-16,2302
2019-08-19,2307
2019-08-20,2320
2019-08-21,2333
2019-08-22,2364
2019-08-23,2378
2019-08-26,2403
2019-08-27,2365
2019-08-28,2384
2019-08-29,2396
2019-08-30,2354
2019-09-02,2395
2019-09-03,2407
2019-09-04,2381
2019-09-05,2336
2019-09-06,2280
2019-09-09,2269
2019-09-10,2274
2019-09-11,2244
2019-09-12,2260
2019-09-16,2251
2019-09-17,2260
2019-09-18,2265
2019-09-19,2272
2019-09-20,2267
2019-09-23,2272
2019-09-24,2273
2019-09-25,2285
2019-09-26,2266
2019-09-27,2252
2019-09-30,2282
2019-10-08,2313
2019-10-09,2355
2019-10-10,2355
2019-10-11,2377
2019-10-14,2349
2019-10-15,2351
2019-10-16,2354
2019-10-17,2350
2019-10-18,2360
2019-10-21,2421
2019-10-22,2397
2019-10-23,2392
2019-10-24,2362
2019-10-25,2349
2019-10-28,2322
2019-10-29,2324
2019-10-30,2323
2019-10-31,2292
2019-11-01,2287
2019-11-04,2276
2019-11-05,2269
2019-11-06,2234
2019-11-07,2240
2019-11-08,2246
2019-11-11,2197
2019-11-12,2190
2019-11-13,2190
2019-11-14,2175
2019-11-15,2179
2019-11-18,2202
2019-11-19,2201
2019-11-20,2196
2019-11-21,2210
2019-11-22,2185
2019-11-25,2214
2019-11-26,2220
2019-11-27,2197
2019-11-28,2207
2019-11-29,2195
2019-12-02,2199
2019-12-03,2289
2019-12-04,2283
2019-12-05,2282
2019-12-06,2282
2019-12-09,2309
2019-12-10,2313
2019-12-11,2338
2019-12-12,2308
2019-12-13,2288
2019-12-16,2287
2019-12-17,2290
2019-12-18,2290
2019-12-19,2274
2019-12-20,2273
2019-12-23,2287
2019-12-24,2272
2019-12-25,2276
2019-12-26,2260
2019-12-27,2275
2019-12-30,2322
2019-12-31,2327
2020-01-02,2327
2020-01-03,2329
2020-01-06,2308
2020-01-07,2337
2020-01-08,2318
2020-01-09,2314
2020-01-10,2263
2020-01-13,2269
2020-01-14,2248
2020-01-15,2275
2020-01-16,2271
2020-01-17,2261
2020-01-20,2274
2020-01-21,2304
2020-01-22,2249
2020-01-23,2234
2020-02-03,2163
2020-02-04,2243
2020-02-05,2231
2020-02-06,2229
2020-02-07,2232
2020-02-10,2253
2020-02-11,2246
2020-02-12,2241
2020-02-13,2294
2020-02-14,2293
2020-02-17,2318
2020-02-18,2295
2020-02-19,2294
2020-02-20,2293
2020-02-21,2294
2020-02-24,2243
2020-02-25,2264
2020-02-26,2265
2020-02-27,2298
2020-02-28,2240
2020-03-02,2370
2020-03-03,2377
2020-03-04,2372
2020-03-05,2374
2020-03-06,2334
2020-03-09,2269
2020-03-10,2296
2020-03-11,2290
2020-03-12,2279
2020-03-13,2308
2020-03-16,2305
2020-03-17,2332
2020-03-18,2297
2020-03-19,2276
2020-03-20,2350
2020-03-23,2453
2020-03-24,2433
2020-03-25,2463
2020-03-26,2414
2020-03-27,2478
2020-03-30,2509
2020-03-31,2488
2020-04-01,2373
2020-04-02,2380
2020-04-03,2325
2020-04-07,2358
2020-04-08,2379
2020-04-09,2390
2020-04-10,2387
2020-04-13,2369
2020-04-14,2375
2020-04-15,2392
2020-04-16,2334
2020-04-17,2347
2020-04-20,2314
2020-04-21,2322
2020-04-22,2350
2020-04-23,2373
2020-04-24,2372
2020-04-27,2412
2020-04-28,2353
2020-04-29,2333
2020-04-30,2328
2020-05-06,2375
2020-05-07,2375
2020-05-08,2339
2020-05-11,2322
2020-05-12,2324
2020-05-13,2314
2020-05-14,2298
2020-05-15,2294
2020-05-18,2331
2020-05-19,2310
2020-05-20,2323
2020-05-21,2295
2020-05-22,2306
2020-05-25,2333
2020-05-26,2329
2020-05-27,2345
2020-05-28,2355
2020-05-29,2365
2020-06-01,2334
2020-06-02,2334
2020-06-03,2343
2020-06-04,2382
2020-06-05,2394
2020-06-08,2370
2020-06-09,2375
2020-06-10,2365
2020-06-11,2330
2020-06-12,2358
2020-06-15,2320
2020-06-16,2333
2020-06-17,2325
2020-06-18,2334
2020-06-19,2321
2020-06-22,2346
2020-06-23,2332
2020-06-24,2331
2020-06-29,2309
2020-06-30,2320
2020-07-01,2372
2020-07-02,2382
2020-07-03,2382
2020-07-06,2387
2020-07-07,2384
2020-07-08,2384
2020-07-09,2387
2020-07-10,2387
2020-07-13,2331
2020-07-14,2326
2020-07-15,2333
2020-07-16,2363
2020-07-17,2372
2020-07-20,2430
2020-07-21,2437
2020-07-22,2442
2020-07-23,2444
2020-07-24,2454
2020-07-27,2464
2020-07-28,2394
2020-07-29,2403
2020-07-30,2378
2020-07-31,2392
2020-08-03,2398
2020-08-04,2382
2020-08-05,2297
2020-08-06,2295
2020-08-07,2281
2020-08-10,2280
2020-08-11,2266
2020-08-12,2269
2020-08-13,2288
2020-08-14,2291
2020-08-17,2297
2020-08-18,2294
2020-08-19,2288
2020-08-20,2285
2020-08-21,2274
2020-08-24,2276
2020-08-25,2323
2020-08-26,2344
2020-08-27,2341
2020-08-28,2348
2020-08-31,2363
2020-09-01,2335
2020-09-02,2334
2020-09-03,2332
2020-09-04,2374
2020-09-07,2379
2020-09-08,2385
2020-09-09,2362
2020-09-10,2358
2020-09-11,2428
2020-09-14,2457
2020-09-15,2443
2020-09-16,2397
2020-09-17,2398
2020-09-18,2468
2020-09-21,2454
2020-09-22,2419
2020-09-23,2398
2020-09-24,2390
2020-09-25,2373
2020-09-28,2365
2020-09-29,2325
2020-09-30,2323
2020-10-09,2446
2020-10-12,2530
2020-10-13,2512
2020-10-14,2494
2020-10-15,2495
2020-10-16,2501
2020-10-19,2493
2020-10-20,2532
2020-10-21,2523
2020-10-22,2516
2020-10-23,2479
2020-10-26,2498
2020-10-27,2491
2020-10-28,2495
2020-10-29,2452
2020-10-30,2448
2020-11-02,2456
2020-11-03,2460
2020-11-04,2483
2020-11-05,2586
2020-11-06,2573
2020-11-09,2510
2020-11-10,2471
2020-11-11,2523
2020-11-12,2497
2020-11-13,2485
2020-11-16,2456
2020-11-17,2469
2020-11-18,2490
2020-11-19,2528
2020-11-20,2559
2020-11-23,2595
2020-11-24,2626
2020-11-25,2623
2020-11-26,2615
2020-11-27,2591
2020-11-30,2622
2020-12-01,2561
2020-12-02,2514
2020-12-03,2507
2020-12-04,2517
2020-12-07,2520
2020-12-08,2510
2020-12-09,2515
2020-12-10,2554
2020-12-11,2513
2020-12-14,2540
2020-12-15,2525
2020-12-16,2571
2020-12-17,2592
2020-12-18,2622
2020-12-21,2722
2020-12-22,2731
2020-12-23,2759
2020-12-24,2741
2020-12-25,2745
2020-12-28,2747
2020-12-29,2708
2020-12-30,2793
2020-12-31,2883
2021-01-04,2872
2021-01-05,2873
2021-01-06,2911
2021-01-07,2895
2021-01-08,2926
2021-01-11,2986
2021-01-12,3010
2021-01-13,3154
2021-01-14,3131
2021-01-15,3095
2021-01-18,3062
2021-01-19,3052
2021-01-20,2918
2021-01-21,2940
2021-01-22,2861
2021-01-25,2810
2021-01-26,2803
2021-01-27,2872
2021-01-28,2841
2021-01-29,2857
2021-02-01,2867
2021-02-02,2810
2021-02-03,2788
2021-02-04,2871
2021-02-05,2919
2021-02-08,2886
2021-02-09,2942
2021-02-10,2906
2021-02-18,2937
2021-02-19,2918
2021-02-22,2964
2021-02-23,3038
2021-02-24,3048
2021-02-25,3043
2021-02-26,2907
2021-03-01,2874
2021-03-02,2817
2021-03-03,2868
2021-03-04,2838
2021-03-05,2876
2021-03-08,2954
2021-03-09,2874
2021-03-10,2803
2021-03-11,2709
2021-03-12,2732
2021-03-15,2780
2021-03-16,2808
2021-03-17,2843
2021-03-18,2831
2021-03-19,2861
2021-03-22,2863
2021-03-23,2824
2021-03-24,2856
2021-03-25,2890
2021-03-26,2933
2021-03-29,2891
2021-03-30,2879
2021-03-31,2832
2021-04-01,2981
2021-04-02,2989
2021-04-06,2954
2021-04-07,2988
2021-04-08,2967
2021-04-09,2965
2021-04-12,2891
2021-04-13,2861
2021-04-14,2844
2021-04-15,2869
2021-04-16,2896
2021-04-19,2943
2021-04-20,2984
2021-04-21,3015
2021-04-22,3047
2021-04-23,3052
2021-04-26,3055
2021-04-27,3080
2021-04-28,3033
2021-04-29,3024
2021-04-30,3020
2021-05-06,3119
2021-05-07,3174
2021-05-10,3143
2021-05-11,3089
2021-05-12,3190
2021-05-13,3094
2021-05-14,3008
2021-05-17,3001
2021-05-18,3013
2021-05-19,2989
2021-05-20,2982
2021-05-21,2920
2021-05-24,2939
2021-05-25,2938
2021-05-26,2931
2021-05-27,2894
2021-05-28,2963
2021-05-31,2943
2021-06-01,2960
2021-06-02,2996
2021-06-03,3025
2021-06-04,2935
2021-06-07,3036
2021-06-08,3047
2021-06-09,3044
2021-06-10,3047
2021-06-11,3047
2021-06-15,2906
2021-06-16,2891
2021-06-17,2869
2021-06-18,2792
2021-06-21,2809
2021-06-22,2816
2021-06-23,2814
2021-06-24,2831
2021-06-25,2830
2021-06-28,2883
2021-06-29,2891
2021-06-30,2920
2021-07-01,3048
2021-07-02,3108
2021-07-05,3082
2021-07-06,3067
2021-07-07,2997
2021-07-08,2988
2021-07-09,2980
2021-07-12,3001
2021-07-13,3023
2021-07-14,3046
2021-07-15,3069
2021-07-16,3060
2021-07-19,3086
2021-07-20,3101
2021-07-21,3078
2021-07-22,3007
2021-07-23,2947
2021-07-26,2896
2021-07-27,2908
2021-07-28,2919
2021-07-29,2965
2021-07-30,3012
2021-08-02,3007
2021-08-03,3013
2021-08-04,2976
2021-08-05,2937
2021-08-06,2955
2021-08-09,3010
2021-08-10,3029
2021-08-11,2930
2021-08-12,2845
2021-08-13,2929
2021-08-16,2969
2021-08-17,2991
2021-08-18,2991
2021-08-19,2924
2021-08-20,2885
2021-08-23,2857
2021-08-24,2862
2021-08-25,2849
2021-08-26,2892
2021-08-27,2883
2021-08-30,2894
2021-08-31,2887
2021-09-01,2849
2021-09-02,2871
2021-09-03,2848
2021-09-06,2851
2021-09-07,2888
2021-09-08,2822
2021-09-09,2788
2021-09-10,2824
2021-09-13,2868
2021-09-14,2892
2021-09-15,2901
2021-09-16,2924
2021-09-17,2939
2021-09-22,2895
2021-09-23,2901
2021-09-24,2871
2021-09-27,2883
2021-09-28,2821
2021-09-29,2802
2021-09-30,2771
2021-10-08,2681
2021-10-11,2700
2021-10-12,2688
2021-10-13,2620
2021-10-14,2638
2021-10-15,2626
2021-10-18,2585
2021-10-19,2599
2021-10-20,2614
2021-10-21,2609
2021-10-22,2646
2021-10-25,2657
2021-10-26,2628
2021-10-27,2628
2021-10-28,2655
2021-10-29,2647
2021-11-01,2553
2021-11-02,2522
2021-11-03,2532
2021-11-04,2570
2021-11-05,2496
2021-11-08,2545
2021-11-09,2587
2021-11-10,2628
2021-11-11,2669
2021-11-12,2689
2021-11-15,2702
2021-11-16,2750
2021-11-17,2746
2021-11-18,2749
2021-11-19,2792
2021-11-22,2710
2021-11-23,2759
2021-11-24,2764
2021-11-25,2738
2021-11-26,2688
2021-11-29,2715
2021-11-30,2680
2021-12-01,2670
